cluster,dominant_cell_type,purity,n_cells
0,Naive_B,0.9532554257095158,599
1,NK_cells,0.45819397993311034,897
2,Unknown,0.8559322033898306,236
3,Unknown,0.8636363636363636,154
4,Unknown,0.952755905511811,127
5,CD4_T,0.8490853658536586,656
6,Monocytes_CD14,0.5812807881773399,203
7,CD4_T,0.8088737201365188,293
8,CD8_T,0.2631578947368421,19
9,Unknown,0.7,60
10,NK_cells,0.968421052631579,95
11,Naive_B,0.8846153846153846,52
12,Unknown,0.7517241379310344,290
13,Unknown,0.8014184397163121,141
14,Unknown,0.8125,32
15,Unknown,0.8717434869739479,499
16,Unknown,0.7142857142857143,35
17,CD8_T,0.4708171206225681,257
